,Keyword,Search Intent,Search Volume,Keyword Frequency
"Arms exports, Informational, 0.3, 0.6",Arms exports,Informational,0.3,0.6
"Collective Security Treaty Organization, Informational, 0.1, 0.2",Collective Security Treaty Organization,Informational,0.1,0.2
"Economic ties, Informational, 0.2, 0.2",Economic ties,Informational,0.2,0.2
"South Caucasus, Informational, 0.1, 0.2",South Caucasus,Informational,0.1,0.2
"Armenia, Historical, 0.8, 0.2",Armenia,Historical,0.8,0.2
"Azerbaijan, Historical, 0.8, 0.2",Azerbaijan,Historical,0.8,0.2
"Nazi collaboration, Accusations, 0.6, 0.3",Nazi collaboration,Accusations,0.6,0.3
"Caucasus, Struggle, 0.7, 0.1",Caucasus,Struggle,0.7,0.1
"Nikol Pashinyan, Prime Minister, 0.6, 0.4",Nikol Pashinyan,Prime Minister,0.6,0.4
"Garegin Nzhdeh, Collaboration, 0.4, 0.1",Garegin Nzhdeh,Collaboration,0.4,0.1
"Ilham Aliyev, President, 0.6, 0.3",Ilham Aliyev,President,0.6,0.3
"Mammad Amin Rasulzade, Legacy, 0.4, 0.2",Mammad Amin Rasulzade,Legacy,0.4,0.2
"Armenian Revolutionary Federation – Dashnaktsutyun, Sympathizers, 0.3, 0.2",Armenian Revolutionary Federation – Dashnaktsutyun,Sympathizers,0.3,0.2
"Nazi sympathizers, Accusations, 0.5, 0.3",Nazi sympathizers,Accusations,0.5,0.3
"Azerbaijan Democratic Republic, Founding father, 0.4, 0.2",Azerbaijan Democratic Republic,Founding father,0.4,0.2
"Armenia-Azerbaijan clashes, Conflict, 0.5, 0.03",Armenia-Azerbaijan clashes,Conflict,0.5,0.03
"Ganja Gap, Geopolitical interests, 0.1, 0.02",Ganja Gap,Geopolitical interests,0.1,0.02
"Azerbaijani village, Conflict, 0.05, 0.01",Azerbaijani village,Conflict,0.05,0.01
"Armenian forces, Conflict, 0.1, 0.06",Armenian forces,Conflict,0.1,0.06
"Nagorno-Karabakh Autonomous Oblast, Territorial dispute, 0.05, 0.01",Nagorno-Karabakh Autonomous Oblast,Territorial dispute,0.05,0.01
"Skirmishes, Conflict, 0.1, 0.02",Skirmishes,Conflict,0.1,0.02
"Cease-fire, Conflict resolution, 0.05, 0.01",Cease-fire,Conflict resolution,0.05,0.01
"Atrocities, Conflict, 0.05, 0.01",Atrocities,Conflict,0.05,0.01
"Geopolitical interests, Geopolitics, 0.1, 0.04",Geopolitical interests,Geopolitics,0.1,0.04
"Oil and gas pipelines, Energy trade, 0.3, 0.06",Oil and gas pipelines,Energy trade,0.3,0.06
"Baku-Tbilisi-Ceyhan pipeline, Energy trade, 0.2, 0.03",Baku-Tbilisi-Ceyhan pipeline,Energy trade,0.2,0.03
"Baku-Supsa pipeline, Energy trade, 0.1, 0.02",Baku-Supsa pipeline,Energy trade,0.1,0.02
"Southern Gas Corridor, Energy trade, 0.15, 0.02",Southern Gas Corridor,Energy trade,0.15,0.02
"Fiber optic cables, Infrastructure, 0.2, 0.03",Fiber optic cables,Infrastructure,0.2,0.03
"Sovereignty, Territorial dispute, 0.1, 0.03",Sovereignty,Territorial dispute,0.1,0.03
"Nagorno-Karabakh Conflict, Informational, 0.1, 1.0",Nagorno-Karabakh Conflict,Informational,0.1,1
"Azerbaijan, Informational, 0.2, 0.3",Azerbaijan,Informational,0.2,0.3
"Armenia, Informational, 0.2, 0.3",Armenia,Informational,0.2,0.3
"Ceasefire, Informational, 0.1, 0.3",Ceasefire,Informational,0.1,0.3
"Mediation, Informational, 0.1, 0.2",Mediation,Informational,0.1,0.2
"War, Informational, 0.2, 0.3",War,Informational,0.2,0.3
"Russia, Informational, 0.2, 0.4",Russia,Informational,0.2,0.4
"United States, Informational, 0.1, 0.3",United States,Informational,0.1,0.3
"European Union, Informational, 0.1, 0.2",European Union,Informational,0.1,0.2
"Ethnic Armenians, Informational, 0.1, 0.2",Ethnic Armenians,Informational,0.1,0.2
"Military, Informational, 0.2, 0.3",Military,Informational,0.2,0.3
"Diplomacy, Informational, 0.1, 0.2",Diplomacy,Informational,0.1,0.2
"Lachin Corridor, Informational, 0.1, 0.3",Lachin Corridor,Informational,0.1,0.3
"Separatists, Informational, 0.1, 0.2",Separatists,Informational,0.1,0.2
"Disarmament, Informational, 0.1, 0.2",Disarmament,Informational,0.1,0.2
"Geopolitica, Information processing, 0.3, 1.0",Geopolitica,Information processing,0.3,1
"Attribution of blame, Conflict resolution, 0.4, 0.8",Attribution of blame,Conflict resolution,0.4,0.8
"Nagorno-Karabakh conflict, Conflict analysis, 0.4, 0.8",Nagorno-Karabakh conflict,Conflict analysis,0.99,0.8
"Russia, Foreign policy, 0.5, 0.7",Russia,Foreign policy,0.5,0.7
"Azerbaijan, National identity, 0.4, 0.6",Azerbaijan,National identity,0.4,0.6
"Soviet Union, Legacy, 0.3, 0.5",Soviet Union,Legacy,0.3,0.5
"Great power politics, International relations, 0.3, 0.5",Great power politics,International relations,0.3,0.5
"Nationalism, Political psychology, 0.4, 0.6",Nationalism,Political psychology,0.4,0.6
"Conspiracy theories, Post-Soviet region, 0.3, 0.4",Conspiracy theories,Post-Soviet region,0.3,0.4
"Power imbalances, Geopolitical interactions, 0.3, 0.6",Power imbalances,Geopolitical interactions,0.3,0.6
"Cynical Soviet and post-Soviet tropes, Political beliefs, 0.3, 0.7",Cynical Soviet and post-Soviet tropes,Political beliefs,0.3,0.7
"Affect, Inter-state relations, 0.3, 0.6",Affect,Inter-state relations,0.3,0.6
"Protracted or frozen conflicts, Public opinion, 0.3, 0.5",Protracted or frozen conflicts,Public opinion,0.3,0.5
"Official discourse, Contestation, 0.3, 0.6",Official discourse,Contestation,0.3,0.6
"Structural position, Agency and malevolence, 0.3, 0.6",Structural position,Agency and malevolence,0.3,0.6
"Nagorno-Karabakh, Territorial dispute, 0.35, 0.43",Nagorno-Karabakh,Territorial dispute,0.35,0.43
"Separatist region, Separatism, 0.15, 0.14",Separatist region,Separatism,0.15,0.14
"Clashes, Violence, 0.3, 0.14",Clashes,Violence,0.3,0.14
"Soldiers, Military, 0.25, 0.27",Soldiers,Military,0.25,0.27
"Ethnic Armenian forces, Ethnicity, 0.1, 0.14",Ethnic Armenian forces,Ethnicity,0.1,0.14
"Artillery, Weaponry, 0.15, 0.14",Artillery,Weaponry,0.15,0.14
"Buffer zone, Geography, 0.05, 0.14",Buffer zone,Geography,0.05,0.14
"Troika, Negotiation, 0.05, 0.14",Troika,Negotiation,0.05,0.14
"Envoys, Diplomacy, 0.05, 0.14",Envoys,Diplomacy,0.05,0.14
"OSCE, International organization, 0.05, 0.14",OSCE,International organization,0.05,0.14
"Mortars, Weaponry, 0.05, 0.14",Mortars,Weaponry,0.05,0.14
"Aircraft, Weaponry, 0.1, 0.14",Aircraft,Weaponry,0.1,0.14
"Tanks, Weaponry, 0.1, 0.14",Tanks,Weaponry,0.1,0.14
"Armenia and Azerbaijan, Countries, 0.2, 0.14",Armenia and Azerbaijan,Countries,0.2,0.14
"Nagorno_Karabakh, Conflict resolution, 0.8, 1",Nagorno_Karabakh,Conflict resolution,0.8,1
"Iranian intervention in the Caucasus, Regional influence, 0.5, 1",Iranian intervention in the Caucasus,Regional influence,0.5,1
"South Caucasus, Geopolitical location, 0.6, 1",South Caucasus,Geopolitical location,0.6,1
"Military build-up, Conflict escalation, 0.7, 1",Military build-up,Conflict escalation,0.7,1
"military training, Military preparedness, 0.4, 1",military training,Military preparedness,0.4,1
"Western powers, Mediation, 0.4, 1",Western powers,Mediation,0.4,1
"Collective Security Treaty Organization, Military cooperation, 0.5, 1",Collective Security Treaty Organization,Military cooperation,0.5,1
"Frozen conflicts, Regional stability, 0.4, 1",Frozen conflicts,Regional stability,0.4,1
"Russo-Georgian war, International order, 0.5, 1",Russo-Georgian war,International order,0.5,1
"Turkish world, Regional influence, 0.4, 1",Turkish world,Regional influence,0.4,1
"Armenian Genocide, Historical conflict, 0.3, 1",Armenian Genocide,Historical conflict,0.3,1
"Football diplomacy, Diplomatic breakthrough, 0.3, 1",Football diplomacy,Diplomatic breakthrough,0.3,1
"Military modernization, Defense capability, 0.4, 1",Military modernization,Defense capability,0.4,1
"Azerbaijan, Conflict, 0.1, 0.4",Azerbaijan,Conflict,0.1,0.4
"Barda city, War, 0.05, 0.5",Barda city,War,0.05,0.5
"Civilians, News, 0.2, 0.6",Civilians,News,0.2,0.6
"Children, News, 0.15, 0.3",Children,News,0.15,0.3
"Cluster bombs, Conflict, 0.05, 0.4",Cluster bombs,Conflict,0.05,0.4
"Humanitarian ceasefire, Conflict, 0.05, 0.3",Humanitarian ceasefire,Conflict,0.08,0.3
"Nagorno-Karabakh, Conflict, 0.1, 0.5",Nagorno-Karabakh,Conflict,0.1,0.5
"Occupation, Conflict, 0.05, 0.3",Occupation,Conflict,0.08,0.3
"Smerch missiles, War, 0.05, 0.3",Smerch missiles,War,0.05,0.3
"State terror, Conflict, 0.05, 0.3",State terror,Conflict,0.05,0.3
"Truce, Conflict, 0.05, 0.3",Truce,Conflict,0.05,0.3
"United States, Conflict, 0.05, 0.2",United States,Conflict,0.05,0.2
"Violation, Conflict, 0.05, 0.3",Violation,Conflict,0.05,0.3
"War crime, Conflict, 0.05, 0.3",War crime,Conflict,0.08,0.3
